"length","type","comblength","height","probability"
7,"Pair",2,5,0.012649796842051125
7,"Single",1,14,0.05122409093246927
7,"Trio",3,5,0.003157948876202232
7,"Single",1,5,0.0376202232165818
7,"Single",1,0,0.015301136655865865
8,"Straight",6,12,0.0014475123027818126
8,"Straight",5,11,0.003650963589773297
8,"Straight",6,11,0.0014081777293366547
8,"Straight",7,13,0.0004391168744604906
13,"Trio",3,10,0.002868502477395645
13,"PairSteps",2,10,0.004807836947793023
13,"FullHouse",5,10,0.0028112249975121902
7,"Straight",5,9,0.004592912616365787
7,"Straight",6,9,0.001746129712492928
7,"Single",1,7,0.04137735946098853
7,"Straight",5,8,0.004603199094789899
7,"Single",1,4,0.03623412024893278
13,"FullHouse",5,7,0.0030409134774488727
13,"Trio",3,7,0.0030987695177351906
1,"Single",1,13,0.08101956236981683
4,"Single",1,3,0.040093540522046466
4,"Pair",2,11,0.021345575094836006
4,"Single",1,11,0.05605787819801625
3,"Pair",2,14,0.030914457279527758
9,"Pair",2,9,0.014736545558000011
9,"Pair",2,14,0.013077734304772742
13,"FullHouse",5,2,0.003849740920651598
13,"Trio",3,2,0.003978181330087224
9,"Single",1,1.5,0.012883125163332673
9,"Trio",3,2,0.0041498082636601714
9,"Pair",2,2,0.01386729139290103
9,"SquareBomb",4,2,0.0004633550986668347
9,"FullHouse",5,2,0.0035530068965772886
14,"FullHouse",5,14,0.0022730474162779486
14,"Trio",3,14,0.002319794956188661
6,"Pair",2,9,0.016283863846640805
6,"SquareBomb",4,9,0.00036684143035693994
6,"Single",1,9,0.04406317463924554
6,"Single",1,2,0.03957667148213677
6,"Single",1,15,0.019241319979872416
6,"Trio",3,9,0.003713863684321587
14,"PairSteps",2,3,0.005524069915289734
2,"Single",1,4,0.041695284560547566
10,"Pair",2,2,0.014152485637328932
10,"Pair",2,8,0.01394385713618459
5,"Pair",2,4,0.013687898504994233
5,"Single",1,14,0.06376950362326725
5,"PairSteps",2,4,0.0019715796574761167
8,"Pair",2,9,0.01246834460805243
14,"StraightBomb",5,6,0.00017416561329566227
6,"Single",1,1.5,0.018144042073141037
6,"Single",1,6,0.03841446588861655
6,"Trio",3,10,0.003924878666385313
12,"FullHouse",5,4,0.003351515457869398
12,"Trio",3,12,0.0031692346811388415
12,"FullHouse",5,12,0.0030252481852340316
12,"Trio",3,4,0.003523073835968746
14,"PairSteps",3,6,0.0012061278992007206
7,"Pair",2,11,0.01794476161086252
7,"Single",1,11,0.04705806717070411
12,"PairSteps",2,11,0.004161056554525695
12,"PairSteps",2,12,0.004254494599740518
12,"PairSteps",3,12,0.0009236580535170233
12,"PairSteps",2,3,0.005575647288228798
4,"Single",1,15,0.03208147592062342
6,"Pair",2,14,0.01603064586816433
3,"Pair",2,13,0.0326361677946839
13,"Pair",2,13,0.014277713621857549
11,"PairSteps",2,11,0.0038928040871046054
11,"PairSteps",2,12,0.0038611000398565166
11,"Pair",2,11,0.013616888293054095
